,Date,Team,Acquired,Relinquished,Notes
414,2019-12-07,Grizzlies,,Brandon Clarke,placed on IL with left oblique injury
415,2019-12-07,Jazz,,Nigel Williams-Goss,placed on IL
416,2019-12-07,Knicks,,Wayne Ellington,placed on IL with left Achilles injury
417,2019-12-07,Pacers,,Malcolm Brogdon,placed on IL with right hand injury
418,2019-12-08,76ers,Joel Embiid,,activated from IL
419,2019-12-08,Blazers,Gary Trent Jr.,,activated from IL
420,2019-12-08,Hawks,Allen Crabbe,,activated from IL
421,2019-12-08,Hawks,Chandler Parsons,,activated from IL
422,2019-12-08,Hawks,De'Andre Hunter,,activated from IL
423,2019-12-08,Hornets,,Marvin Williams,placed on IL with sore right knee
424,2019-12-08,Lakers,,Rajon Rondo,placed on IL with strained left hamstring
425,2019-12-08,Mavericks,,Delon Wright,placed on IL with strained right adductor
426,2019-12-08,Mavericks,Ryan Broekhoff,,activated from IL
427,2019-12-08,Nuggets,Vlatko Cancar,,activated from IL
428,2019-12-08,Timberwolves,Andrew Wiggins,,activated from IL
429,2019-12-08,Timberwolves,Naz Reid,,activated from IL
430,2019-12-09,Bulls,Max Strus,,activated from IL
431,2019-12-09,Celtics,,Marcus Smart,placed on IL with left eye injury
432,2019-12-09,Celtics,,Robert Williams III,placed on IL with sore left hip
433,2019-12-09,Celtics,Gordon Hayward,,activated from IL
434,2019-12-09,Clippers,,JaMychal Green,placed on IL with tailbone injury
435,2019-12-09,Grizzlies,Ja Morant,,activated from IL
436,2019-12-09,Jazz,Nigel Williams-Goss,,activated from IL
437,2019-12-09,Pacers,Malcolm Brogdon,,activated from IL
438,2019-12-09,Rockets,,Tyson Chandler,placed on IL with illness
439,2019-12-09,Thunder,,Danilo Gallinari,placed on IL with sprained right ankle
440,2019-12-09,Warriors,Jacob Evans,,activated from IL
441,2019-12-10,76ers,Josh Richardson,,activated from IL
442,2019-12-10,Heat,,Justise Winslow,placed on IL with strained lower back
443,2019-12-10,Heat,K.Z. Okpala,,activated from IL
444,2019-12-11,Bucks,,Giannis Antetokounmpo,placed on IL with right quadricep injury
445,2019-12-11,Bulls,,Max Strus,placed on IL
446,2019-12-11,Celtics,Romeo Langford,,activated from IL
447,2019-12-11,Grizzlies,,Grayson Allen,placed on IL with sore right ankle
448,2019-12-11,Grizzlies,Brandon Clarke,,activated from IL
449,2019-12-11,Grizzlies,Kyle Anderson,,activated from IL
450,2019-12-11,Hornets,,Nicolas Batum,placed on IL with left hand injury
451,2019-12-11,Kings,Marvin Bagley III,,activated from IL
452,2019-12-11,Lakers,,Kyle Kuzma,placed on IL with sprained left ankle
453,2019-12-11,Lakers,Avery Bradley,,activated from IL
454,2019-12-11,Magic,,Markelle Fultz,placed on IL with illness
455,2019-12-11,Nets,,Nicolas Claxton,placed on IL with left hamstring injury
456,2019-12-11,Raptors,,Fred VanVleet,placed on IL with bruised right knee
457,2019-12-11,Raptors,Patrick McCaw,,activated from IL
458,2019-12-11,Rockets,,Austin Rivers,placed on IL with flu
459,2019-12-11,Thunder,Danilo Gallinari,,activated from IL
460,2019-12-11,Timberwolves,,Keita Bates-Diop,placed on IL with illness
461,2019-12-11,Warriors,Damion Lee,,activated from IL
462,2019-12-12,Bucks,,Kyle Korver,placed on IL with sore back
463,2019-12-12,Nuggets,,Vlatko Cancar,placed on IL
464,2019-12-13,76ers,,Al Horford,placed on IL with sore left knee
465,2019-12-13,Bucks,Giannis Antetokounmpo,,activated from IL
466,2019-12-13,Clippers,,Patrick Beverley,placed on IL with concussion
467,2019-12-13,Clippers,Rodney McGruder,,activated from IL
468,2019-12-13,Grizzlies,,Ja Morant,placed on IL with back injury
469,2019-12-13,Jazz,,Tony Bradley,placed on IL with illness
470,2019-12-13,Knicks,,Allonzo Trier,placed on IL with concussion
471,2019-12-13,Lakers,Rajon Rondo,,activated from IL
472,2019-12-13,Magic,Markelle Fultz,,activated from IL
473,2019-12-13,Pelicans,Derrick Favors,,activated from IL
474,2019-12-13,Rockets,Austin Rivers,,activated from IL
475,2019-12-13,Timberwolves,Keita Bates-Diop,,activated from IL
476,2019-12-13,Warriors,,Draymond Green,placed on IL
477,2019-12-14,Bucks,,Eric Bledsoe,placed on IL with right fibula injury
478,2019-12-14,Bucks,Frank Mason,,activated from IL
479,2019-12-14,Bucks,Kyle Korver,,activated from IL
480,2019-12-14,Bulls,Cristiano Felicio,,activated from IL
481,2019-12-14,Clippers,,Kawhi Leonard,placed on IL
482,2019-12-14,Clippers,Landry Shamet,,activated from IL
483,2019-12-14,Grizzlies,Ja Morant,,activated from IL
484,2019-12-14,Mavericks,,Ryan Broekhoff,placed on IL
485,2019-12-14,Mavericks,Delon Wright,,activated from IL
486,2019-12-14,Nuggets,,Paul Millsap,placed on IL with strained right quadriceps
487,2019-12-14,Nuggets,Vlatko Cancar,,activated from IL
488,2019-12-14,Thunder,,Russell Westbrook,placed on IL
489,2019-12-15,76ers,,Joel Embiid,placed on IL with illness
490,2019-12-15,76ers,Al Horford,,activated from IL
491,2019-12-15,Nuggets,,Vlatko Cancar,placed on IL
492,2019-12-15,Rockets,Tyson Chandler,,activated from IL
493,2019-12-15,Warriors,,Eric Paschall,placed on IL with sore left hip
494,2019-12-15,Warriors,Draymond Green,,activated from IL
495,2019-12-16,Bucks,,Frank Mason,placed on IL
496,2019-12-16,Jazz,Tony Bradley,,activated from IL
497,2019-12-16,Mavericks,,Luka Doncic,placed on IL with sprained right ankle
498,2019-12-16,Mavericks,Ryan Broekhoff,,activated from IL
499,2019-12-16,Rockets,Russell Westbrook,,activated from IL
500,2019-12-16,Thunder,Terrance Ferguson,,activated from IL
501,2019-12-16,Wizards,,Moritz Wagner / Moe Wagner,placed on IL with sprained left ankle
502,2019-12-16,Wizards,Isaiah Thomas,,activated from IL
503,2019-12-17,76ers,Joel Embiid,,activated from IL
504,2019-12-17,Clippers,,Terance Mann,placed on IL
505,2019-12-17,Clippers,Kawhi Leonard,,activated from IL
506,2019-12-17,Clippers,Patrick Beverley,,activated from IL
507,2019-12-17,Hawks,,Chandler Parsons,placed on IL with illness
508,2019-12-17,Hornets,,P.J. Washington,placed on IL with fractured finger
509,2019-12-17,Hornets,Marvin Williams,,activated from IL
510,2019-12-17,Jazz,,Nigel Williams-Goss,placed on IL
511,2019-12-17,Jazz,Mike Conley Jr.,,activated from IL
512,2019-12-17,Kings,De'Aaron Fox,,activated from IL
513,2019-12-17,Lakers,,Anthony Davis,placed on IL with sprained right ankle
514,2019-12-17,Suns,,Tyler Johnson,placed on IL with illness
515,2019-12-17,Suns,Deandre Ayton,,activated from IL
516,2019-12-17,Warriors,Eric Paschall,,activated from IL
517,2019-12-17,Pacers,JaKarr Sampson,,activated from IL
518,2019-12-17,Pacers,,Alize Johnson,placed on IL with illness
519,2019-12-18,Bulls,,Cristiano Felicio,placed on IL
520,2019-12-18,Celtics,,Gordon Hayward,placed on IL with sore left foot
521,2019-12-18,Celtics,,Vincent Poirier,placed on IL with fractured finger
522,2019-12-18,Hornets,Nicolas Batum,,activated from IL
523,2019-12-18,Nuggets,Paul Millsap,,activated from IL
524,2019-12-18,Nuggets,Vlatko Cancar,,activated from IL
525,2019-12-18,Wizards,,Rui Hachimura,placed on IL with groin injury
526,2019-12-18,Pacers,Alize Johnson,,activated from IL
527,2019-12-19,Hawks,Chandler Parsons,,activated from IL
528,2019-12-19,Jazz,,Mike Conley Jr.,placed on IL with left hamstring injury
529,2019-12-19,Lakers,Anthony Davis,,activated from IL
530,2019-12-20,Grizzlies,Grayson Allen,,activated from IL
531,2019-12-20,Heat,Goran Dragic,,activated from IL
532,2019-12-20,Kings,,Bogdan Bogdanovic,placed on IL with sore right ankle
533,2019-12-20,Knicks,Allonzo Trier,,activated from IL
534,2019-12-20,Pistons,,Blake Griffin,placed on IL with sore left knee
535,2019-12-20,Pistons,,Christian Wood,placed on IL with left knee injury
536,2019-12-20,Pistons,,Luke Kennard,placed on IL with knee injury
537,2019-12-20,Pistons,Sekou Doumbouya,,activated from IL
538,2019-12-20,Raptors,,Marc Gasol,placed on IL with strained left hamstring
539,2019-12-20,Raptors,,Norman Powell,placed on IL with left shoulder subluxation
540,2019-12-20,Raptors,,Pascal Siakam,placed on IL with groin injury
541,2019-12-20,Raptors,Fred VanVleet,,activated from IL
542,2019-12-20,Suns,,Deandre Ayton,placed on IL with sprained right ankle
543,2019-12-20,Suns,Tyler Johnson,,activated from IL
544,2019-12-20,Timberwolves,,Karl-Anthony Towns,placed on IL with sprained left knee
545,2019-12-21,Bucks,,Wesley Matthews / Wes Matthews Jr.,placed on IL with bruised right thigh
546,2019-12-21,Grizzlies,,Jonas Valanciunas,placed on IL with sore right foot
547,2019-12-21,Hawks,,Evan Turner,placed on IL with strained right hamstring
548,2019-12-21,Pistons,Luke Kennard,,activated from IL
549,2019-12-21,Rockets,,David Nwaba,placed on IL with torn right Achilles tendon (out for season)
550,2019-12-21,Suns,,Ricky Rubio,placed on IL with illness
551,2019-12-21,Suns,Jalen Lecque,,activated from IL
552,2019-12-22,Bucks,Frank Mason,,activated from IL
553,2019-12-22,Bucks,Wesley Matthews / Wes Matthews Jr.,,activated from IL
554,2019-12-22,Clippers,,Patrick Beverley,placed on IL with right groin injury
555,2019-12-22,Clippers,JaMychal Green,,activated from IL
556,2019-12-22,Lakers,,LeBron James,placed on IL with strained thoracic muscle
557,2019-12-22,Lakers,Kyle Kuzma,,activated from IL
558,2019-12-22,Raptors,,Dewan Hernandez,placed on IL with sprained right ankle
559,2019-12-22,Thunder,,Danilo Gallinari,placed on IL with sore left ankle
560,2019-12-23,76ers,,Matisse Thybulle,placed on IL with sprained right knee
561,2019-12-23,Bulls,Cristiano Felicio,,activated from IL
562,2019-12-23,Cavaliers,,Larry Nance Jr.,placed on IL with sore left knee
563,2019-12-23,Grizzlies,Jonas Valanciunas,,activated from IL
564,2019-12-23,Magic,,Michael Carter-Williams,placed on IL with sprained left shoulder
565,2019-12-23,Pacers,,Malcolm Brogdon,placed on IL with left hamstring injury
566,2019-12-23,Pistons,,Bruce Brown,placed on IL with calf injury
567,2019-12-23,Pistons,,Luke Kennard,placed on IL with knee tendinitis (out for season)
568,2019-12-23,Pistons,Blake Griffin,,activated from IL
569,2019-12-23,Pistons,Christian Wood,,activated from IL
570,2019-12-23,Raptors,Stanley Johnson,,activated from IL
571,2019-12-23,Rockets,,Thabo Sefolosha,placed on IL with illness
572,2019-12-23,Suns,,Jalen Lecque,placed on IL
573,2019-12-23,Suns,Ricky Rubio,,activated from IL
574,2019-12-23,Timberwolves,,Shabazz Napier,placed on IL with illness
575,2019-12-23,Warriors,,Glenn Robinson III,placed on IL with sprained right ankle
576,2019-12-23,Wizards,,Davis Bertans,placed on IL with strained right quadriceps
577,2019-12-24,Heat,Dion Waiters,,activated from IL
578,2019-12-25,Bucks,,Frank Mason,placed on IL with strained abdominal
579,2019-12-25,Celtics,Gordon Hayward,,activated from IL
580,2019-12-25,Clippers,Patrick Beverley,,activated from IL
581,2019-12-25,Lakers,LeBron James,,activated from IL
582,2019-12-25,Warriors,,Kevon Looney,placed on IL with abdominal injury
583,2019-12-25,Warriors,Glenn Robinson III,,activated from IL
584,2019-12-26,Jazz,Nigel Williams-Goss,,activated from IL
585,2019-12-26,Kings,Bogdan Bogdanovic,,activated from IL
586,2019-12-26,Knicks,,Dennis Smith Jr.,placed on IL with strained left oblique
587,2019-12-26,Mavericks,Luka Doncic,,activated from IL
588,2019-12-26,Pistons,,Sekou Doumbouya,placed on IL with illness
589,2019-12-26,Pistons,Bruce Brown,,activated from IL
590,2019-12-26,Timberwolves,Shabazz Napier,,activated from IL
591,2019-12-26,Wizards,Jordan McRae,,activated from IL
592,2019-12-27,Bucks,,Giannis Antetokounmpo,placed on IL with sore back
593,2019-12-27,Cavaliers,Larry Nance Jr.,,activated from IL
594,2019-12-27,Hawks,,Alex Len,placed on IL with sprained left ankle
595,2019-12-27,Hawks,,Jabari Parker,placed on IL with right shoulder injury
596,2019-12-27,Hawks,Evan Turner,,activated from IL
597,2019-12-27,Hornets,P.J. Washington,,activated from IL
598,2019-12-27,Magic,,Mohamed Bamba / Mo Bamba,placed on IL with sprained right ankle
599,2019-12-27,Warriors,,Eric Paschall,placed on IL with bruised right hip
600,2019-12-27,Warriors,,Jordan Poole,placed on IL
601,2019-12-28,Bulls,,Cristiano Felicio,placed on IL with illness
602,2019-12-28,Bulls,Adam Mokoka,,activated from IL
603,2019-12-28,Cavaliers,,Kevin Love,placed on IL with bruised right hip
604,2019-12-28,Celtics,Marcus Smart,,activated from IL
605,2019-12-28,Clippers,,Montrezl Harrell,placed on IL with illness
606,2019-12-28,Hawks,,Trae Young,placed on IL with sprained right ankle
607,2019-12-28,Hawks,Alex Len,,activated from IL
608,2019-12-28,Jazz,,Nigel Williams-Goss,placed on IL
609,2019-12-28,Kings,,De'Aaron Fox,placed on IL with back spasms
610,2019-12-28,Kings,,Marvin Bagley III,placed on IL with left foot injury
611,2019-12-28,Knicks,Wayne Ellington,,activated from IL
612,2019-12-28,Nuggets,,Paul Millsap,placed on IL with bruised left knee
613,2019-12-28,Pistons,,Markieff Morris,placed on IL with sprained left foot
614,2019-12-28,Rockets,,Clint Capela,placed on IL with right heel injury
615,2019-12-28,Rockets,,Michael Frazier II,placed on IL
616,2019-12-28,Rockets,Thabo Sefolosha,,activated from IL
617,2019-12-28,Warriors,,Omari Spellman,placed on IL with illness
618,2019-12-28,Wizards,,Bradley Beal,placed on IL with right leg injury
619,2019-12-29,Grizzlies,,Jae Crowder,placed on IL with sore left ankle
620,2019-12-29,Kings,De'Aaron Fox,,activated from IL
621,2019-12-29,Rockets,Eric Gordon,,activated from IL
622,2019-12-29,Thunder,,Dennis Schröder,placed on IL with sore right ankle
623,2019-12-29,Thunder,,Russell Westbrook,placed on IL
624,2019-12-30,Bucks,,Wesley Matthews / Wes Matthews Jr.,placed on IL with bruised right thigh
625,2019-12-30,Bucks,Eric Bledsoe,,activated from IL
626,2019-12-30,Bucks,Giannis Antetokounmpo,,activated from IL
627,2019-12-30,Cavaliers,Kevin Love,,activated from IL
628,2019-12-30,Clippers,Montrezl Harrell,,activated from IL
629,2019-12-30,Hawks,,Chandler Parsons,placed on IL
630,2019-12-30,Jazz,Nigel Williams-Goss,,activated from IL
631,2019-12-30,Magic,,Aaron Gordon,placed on IL with left Achilles injury
632,2019-12-30,Magic,Mohamed Bamba / Mo Bamba,,activated from IL
633,2019-12-30,Pacers,Malcolm Brogdon,,activated from IL
634,2019-12-30,Pistons,Sekou Doumbouya,,activated from IL
635,2019-12-30,Suns,Deandre Ayton,,activated from IL
636,2019-12-30,Timberwolves,,Andrew Wiggins,placed on IL with illness
637,2019-12-30,Warriors,Omari Spellman,,activated from IL
638,2019-12-31,76ers,,Joel Embiid,placed on IL with sore left knee
639,2019-12-31,Celtics,,Jaylen Brown,placed on IL with illness
640,2019-12-31,Clippers,,Patrick Beverley,placed on IL with sprained right wrist
641,2019-12-31,Mavericks,,Kristaps Porzingis,placed on IL with sore right knee
642,2019-12-31,Mavericks,,Ryan Broekhoff,placed on IL with fractured fibula in left leg
643,2019-12-31,Mavericks,,Tim Hardaway Jr.,placed on IL with strained left hamstring
644,2019-12-31,Nuggets,,Gary Harris,placed on IL with bruised left shin
645,2019-12-31,Nuggets,Paul Millsap,,activated from IL
646,2019-12-31,Rockets,Clint Capela,,activated from IL
647,2019-12-31,Rockets,Russell Westbrook,,activated from IL
648,2019-12-31,Thunder,11/25/2019,,activated from IL
649,2019-12-31,Thunder,Danilo Gallinari,,activated from IL
650,2019-12-31,Thunder,Dennis Schröder,,activated from IL
651,2019-12-31,Warriors,,Willie Cauley-Stein,placed on IL with illness
652,2019-12-31,Warriors,Eric Paschall,,activated from IL
653,2020-01-01,Blazers,,Skal Labissiere,placed on IL
654,2020-01-01,Knicks,Reggie Bullock,,activated from IL
655,2020-01-01,Suns,,Frank Kaminsky,placed on IL with sore right knee
656,2020-01-01,Wizards,Bradley Beal,,activated from IL
657,2020-01-02,76ers,Joel Embiid,,activated from IL
658,2020-01-02,Grizzlies,Jae Crowder,,activated from IL
659,2020-01-02,Hawks,Trae Young,,activated from IL
660,2020-01-02,Jazz,,Nigel Williams-Goss,placed on IL
661,2020-01-02,Nets,,Garrett Temple,placed on IL with bruised right knee
662,2020-01-02,Nuggets,,Vlatko Cancar,placed on IL
663,2020-01-02,Nuggets,Gary Harris,,activated from IL
664,2020-01-02,Pacers,,Edmond Sumner,placed on IL with sore right knee
665,2020-01-02,Pacers,,Malcolm Brogdon,placed on IL with sore lower back
666,2020-01-02,Timberwolves,,Treveon Graham,placed on IL with illness
667,2020-01-03,76ers,,James Ennis,placed on IL with illness
668,2020-01-03,Celtics,,Kemba Walker,placed on IL with illness
669,2020-01-03,Celtics,Jaylen Brown,,activated from IL
670,2020-01-03,Hawks,,Evan Turner,placed on IL
671,2020-01-03,Hawks,Jabari Parker,,activated from IL
672,2020-01-03,Lakers,,Alex Caruso,placed on IL with right calf injury
673,2020-01-03,Magic,,Jonathan Isaac,placed on IL with left knee injury
674,2020-01-03,Magic,Aaron Gordon,,activated from IL
675,2020-01-03,Wizards,Thomas Bryant,,activated from IL
676,2020-01-03,Bulls,Chandler Hutchison,,activated from IL
677,2020-01-03,Bulls,Cristiano Felicio,,activated from IL
678,2020-01-03,Nets,David Nwaba,,activated from IL
679,2020-01-04,Bucks,Wesley Matthews / Wes Matthews Jr.,,activated from IL
680,2020-01-04,Bulls,,Adam Mokoka,placed on IL
681,2020-01-04,Cavaliers,,Larry Nance Jr.,placed on IL with sore left knee
682,2020-01-04,Clippers,,Paul George,placed on IL with left hamstring injury
683,2020-01-04,Hawks,,Cameron Reddish / Cam Reddish,placed on IL with sprained right wrist
684,2020-01-04,Hawks,,Jabari Parker,placed on IL with throat injury
685,2020-01-04,Hawks,,John Collins (Martin),placed on IL with back injury
686,2020-01-04,Hawks,Chandler Parsons,,activated from IL
687,2020-01-04,Hawks,Evan Turner,,activated from IL
688,2020-01-04,Kings,,Bogdan Bogdanovic,placed on IL with sore right ankle
689,2020-01-04,Nets,Caris LeVert,,activated from IL
690,2020-01-04,Nets,Garrett Temple,,activated from IL
691,2020-01-04,Nuggets,Vlatko Cancar,,activated from IL
692,2020-01-04,Pacers,Edmond Sumner,,activated from IL
693,2020-01-04,Spurs,,Dejounte Murray,placed on IL for personal reasons
694,2020-01-04,Warriors,,D'Angelo Russell,placed on IL with right shoulder injury
695,2020-01-04,Warriors,Jordan Poole,,activated from IL
696,2020-01-04,Warriors,Willie Cauley-Stein,,activated from IL
697,2020-01-04,Wizards,,Bradley Beal,placed on IL with right leg injury
698,2020-01-04,Wizards,,Thomas Bryant,placed on IL
699,2020-01-05,Cavaliers,,Tristan Thompson,placed on IL with illness
700,2020-01-05,Clippers,,Kawhi Leonard,placed on IL
701,2020-01-05,Clippers,Patrick Beverley,,activated from IL
702,2020-01-05,Clippers,Paul George,,activated from IL
